INFO | app             | 2023-03-31 21:57:42,665 | 17 | Start show_list_of_commands()
INFO | app             | 2023-03-31 21:57:44,769 | 68 | Start iteration
INFO | app             | 2023-03-31 21:57:46,848 | 27 | Start get_command_from_user()
INFO | app             | 2023-03-31 21:57:52,138 | 34 | Start process_command()
INFO | app             | 2023-03-31 21:57:54,181 | 48 | Start get_result()
INFO | app             | 2023-03-31 21:57:56,257 | 61 | Start give_result_to_user()
INFO | app             | 2023-03-31 21:57:58,324 | 73 | End iteration
INFO | app             | 2023-03-31 21:58:00,397 | 68 | Start iteration
INFO | app             | 2023-03-31 21:58:02,476 | 27 | Start get_command_from_user()
INFO | app             | 2023-03-31 21:58:07,711 | 34 | Start process_command()
WARNING | app             | 2023-03-31 21:58:09,775 | 37 | Incorrect command: 1+2
INFO | app             | 2023-03-31 21:58:11,822 | 48 | Start get_result()
INFO | app             | 2023-03-31 21:58:13,865 | 61 | Start give_result_to_user()
INFO | app             | 2023-03-31 21:58:15,947 | 73 | End iteration
INFO | app             | 2023-03-31 21:58:18,024 | 68 | Start iteration
INFO | app             | 2023-03-31 21:58:20,094 | 27 | Start get_command_from_user()
INFO | app             | 2023-03-31 22:06:22,227 | 17 | Start show_list_of_commands()

INFO | app             | 2023-03-31 22:06:24,356 | 68 | Start iteration

INFO | app             | 2023-03-31 22:06:26,386 | 27 | Start get_command_from_user()

INFO | app             | 2023-03-31 22:08:09,175 | 17 | Start show_list_of_commands()
INFO | app             | 2023-03-31 22:08:11,299 | 68 | Start iteration
INFO | app             | 2023-03-31 22:08:13,362 | 27 | Start get_command_from_user()
INFO | app             | 2023-03-31 22:12:52,092 | 34 | Start process_command()
INFO | app             | 2023-03-31 22:12:54,148 | 48 | Start get_result()
INFO | app             | 2023-03-31 22:12:56,237 | 61 | Start give_result_to_user()
INFO | app             | 2023-03-31 22:12:58,282 | 73 | End iteration
INFO | app             | 2023-03-31 22:13:00,335 | 68 | Start iteration
INFO | app             | 2023-03-31 22:13:02,395 | 27 | Start get_command_from_user()
